날짜 평균기온 최고기온 최저기온 평균운량
2019-1-1 -5.0 -0.6 -8.2 0.0
2019-1-2 -4.9 0.2 -8.8 0.0
2019-1-3 -3.5 3.2 -8.4 0.0
2019-1-4 -1.1 4.1 -6.2 0.0
2019-1-5 -2.8 1.1 -5.5 0.0
2019-1-6 -2.8 2.7 -6.3 0.0
2019-1-7 -1.9 3.1 -6.2 0.0
2019-1-8 -3.5 0.5 -7.2 0.0
2019-1-9 -4.7 1.3 -9.4 0.0
2019-1-10 -0.6 3.0 -4.5 0.0
2019-1-11 2.4 7.2 -0.4 0.0
2019-1-12 2.8 8.0 -0.6 0.0
2019-1-13 1.2 7.6 -3.0 0.0
2019-1-14 1.4 5.3 -2.4 0.0
2019-1-15 -1.7 2.6 -7.2 0.0
2019-1-16 -5.2 -1.1 -10.1 0.0
2019-1-17 -0.3 4.0 -3.2 0.0
2019-1-18 0.6 6.7 -4.6 0.0
2019-1-19 3.6 8.5 0.0 0.0
2019-1-20 -1.4 4.0 -5.5 0.0
2019-1-21 -1.2 4.2 -6.7 0.0
2019-1-22 1.7 7.1 -3.3 0.0
2019-1-23 2.0 7.0 -0.8 0.0
2019-1-24 0.1 6.5 -4.6 0.0
2019-1-25 -1.2 2.6 -3.8 0.0
2019-1-26 -2.5 2.4 -6.5 0.0
2019-1-27 -0.1 5.1 -6.6 0.0
2019-1-28 1.2 4.5 -2.4 0.0
2019-1-29 -0.2 7.0 -5.6 0.0
2019-1-30 1.8 6.6 -2.8 0.0
2019-1-31 -2.0 2.3 -6.2 0.0







2019-2-1 -2.1 2.8 -7.4 0.3
2019-2-2 1.4 6.1 -3.2 0.0
2019-2-3 3.3 4.9 2.0 16.0
2019-2-4 -0.6 3.0 -3.3 0.0
2019-2-5 2.8 10.1 -3.6 0.0
2019-2-6 5.1 9.3 0.1 0.0
2019-2-7 -2.1 6.3 -8.2 0.5
2019-2-8 -6.1 -1.3 -10.2 0.0
2019-2-9 -5.4 -1.9 -8.6 0.0
2019-2-10 -5.0 -1.9 -9.1 0.0
2019-2-11 -3.0 2.0 -7.5 0.0
2019-2-12 -0.6 3.7 -4.1 0.0
2019-2-13 -2.1 2.5 -5.7 0.0
2019-2-14 -0.5 6.3 -5.9 0.0
2019-2-15 -0.8 0.9 -2.9 2.2
2019-2-16 -2.7 1.5 -5.1 0.2
2019-2-17 -1.8 4.6 -6.8 0.0
2019-2-18 0.9 5.9 -4.7 0.0
2019-2-19 1.4 3.0 0.2 4.6
2019-2-20 1.7 4.5 -0.1 0.0
2019-2-21 2.4 9.0 -2.6 0.0
2019-2-22 4.0 10.8 -1.6 0.0
2019-2-23 6.8 14.5 0.5 0.0
2019-2-24 6.3 13.7 1.2 0.0
2019-2-25 4.7 10.2 1.3 0.0
2019-2-26 5.2 12.0 -1.5 0.0
2019-2-27 7.8 14.0 4.7 0.0
2019-2-28 6.6 12.8 2.0 0.0







2019-3-1 6.6 13.0 1.2 0.0
2019-3-2 7.8 14.7 1.3 0.0
2019-3-3 9.4 16.1 2.5 0.0
2019-3-4 9.9 16.3 5.0 0.0
2019-3-5 8.4 12.9 5.6 0.0
2019-3-6 8.4 12.4 5.7 0.0
2019-3-7 7.0 12.7 3.1 0.0
2019-3-8 6.1 13.4 0.6 0.0
2019-3-9 7.2 14.9 -0.4 0.0
2019-3-10 10.1 15.3 6.7 0.0
2019-3-11 6.6 10.0 3.5 0.0
2019-3-12 3.9 7.9 -0.3 0.0
2019-3-13 3.5 8.5 -0.4 0.0
2019-3-14 5.0 10.0 -1.7 0.0
2019-3-15 5.5 11.3 1.6 3.5
2019-3-16 4.3 9.2 0.2 0.0
2019-3-17 6.3 12.4 2.6 0.0
2019-3-18 7.1 14.4 1.4 0.0
2019-3-19 10.0 16.7 3.4 0.0
2019-3-20 10.3 14.6 7.1 16.5
2019-3-21 7.1 11.1 1.9 3.3
2019-3-22 3.3 8.3 -0.7 0.0
2019-3-23 3.3 8.2 -0.4 1.7
2019-3-24 4.3 9.7 -0.8 0.0
2019-3-25 7.3 11.5 2.9 0.0
2019-3-26 11.4 17.6 7.4 0.0
2019-3-27 11.6 16.2 8.9 0.0
2019-3-28 9.4 14.6 5.6 0.0
2019-3-29 9.2 15.1 5.5 0.0
2019-3-30 5.2 8.4 3.5 1.8
2019-3-31 4.4 8.4 2.6 0.0







2019-4-1 5.5 11.3 0.3 0.0
2019-4-2 6.7 13.0 1.3 0.0
2019-4-3 7.6 13.6 1.9 0.0
2019-4-4 9.2 15.7 3.0 0.0
2019-4-5 11.4 17.2 7.0 0.0
2019-4-6 9.3 12.2 5.9 0.8
2019-4-7 12.6 20.3 5.6 0.0
2019-4-8 11.6 17.2 7.6 0.0
2019-4-9 9.2 13.9 4.7 17.4
2019-4-10 7.1 10.2 4.7 5.6
2019-4-11 9.5 15.7 4.3 0.0
2019-4-12 11.4 18.4 5.5 0.0
2019-4-13 11.8 17.9 6.2 0.0
2019-4-14 9.6 13.6 6.9 1.7
2019-4-15 11.6 18.1 3.9 0.0
2019-4-16 14.9 22.6 6.8 0.0
2019-4-17 15.3 21.8 9.1 0.0
2019-4-18 12.6 16.2 10.4 0.0
2019-4-19 13.8 19.7 9.6 0.0
2019-4-20 14.3 19.1 9.7 1.2
2019-4-21 14.8 20.2 12.2 0.3
2019-4-22 19.3 28.2 10.7 0.0
2019-4-23 20.4 25.5 15.3 0.0
2019-4-24 19.5 25.9 15.8 4.1
2019-4-25 13.2 17.2 9.4 11.3
2019-4-26 8.4 9.9 6.2 4.9
2019-4-27 11.6 18.2 4.1 0.0
2019-4-28 12.9 16.6 9.9 0.0
2019-4-29 13.0 17.3 8.3 0.0
2019-4-30 15.5 22.5 9.0 0.0







2019-5-1 16.4 22.2 11.2 0.0
2019-5-2 17.1 25.3 10.6 0.0
2019-5-3 17.9 26.1 10.1 0.0
2019-5-4 19.5 27.4 12.0 0.0
2019-5-5 19.2 26.5 13.6 0.0
2019-5-6 14.5 19.8 9.8 0.0
2019-5-7 15.0 21.9 8.4 0.0
2019-5-8 15.6 21.3 10.1 0.0
2019-5-9 16.6 22.9 11.7 0.0
2019-5-10 17.8 26.8 10.3 0.0
2019-5-11 20.3 28.3 13.2 0.0
2019-5-12 21.6 28.9 14.7 0.0
2019-5-13 18.7 22.8 15.5 0.0
2019-5-14 19.6 26.9 12.9 0.0
2019-5-15 20.7 28.0 14.8 0.0
2019-5-16 23.5 30.0 16.7 0.0
2019-5-17 23.6 28.3 17.6 0.0
2019-5-18 22.8 25.9 19.1 0.0
2019-5-19 19.4 21.6 17.9 22.0
2019-5-20 16.4 20.2 13.0 8.7
2019-5-21 17.2 23.8 11.7 0.0
2019-5-22 19.5 26.5 12.3 0.0
2019-5-23 22.1 29.2 15.0 0.0
2019-5-24 24.2 33.4 16.2 0.0
2019-5-25 23.4 28.6 18.4 0.0
2019-5-26 24.5 31.1 18.6 0.0
2019-5-27 17.8 22.3 14.3 7.1
2019-5-28 18.1 24.6 11.9 0.0
2019-5-29 20.3 26.5 13.3 0.0
2019-5-30 19.6 24.5 14.6 0.0
2019-5-31 19.1 23.3 16.1 0.0







2019-6-1 18.9 23.7 14.8 0.0
2019-6-2 21.1 27.8 14.1 0.0
2019-6-3 23.1 29.5 16.0 0.0
2019-6-4 22.6 29.0 17.6 0.0
2019-6-5 23.0 29.6 17.8 0.0
2019-6-6 21.2 25.1 18.6 7.9
2019-6-7 20.0 24.7 17.0 35.3
2019-6-8 21.9 27.6 16.0 0.0
2019-6-9 21.6 26.5 17.1 2.5
2019-6-10 18.4 21.9 15.7 9.5
2019-6-11 20.5 26.1 15.5 0.0
2019-6-12 21.5 26.4 16.1 0.0
2019-6-13 23.0 28.8 16.6 0.0
2019-6-14 23.0 28.4 19.1 0.0
2019-6-15 21.9 27.4 17.9 2.1
2019-6-16 22.0 27.2 16.1 0.0
2019-6-17 21.7 26.2 18.1 0.0
2019-6-18 20.8 24.8 17.0 13.8
2019-6-19 21.4 25.4 18.9 0.2
2019-6-20 22.7 27.8 19.8 0.0
2019-6-21 22.1 26.1 19.4 0.2
2019-6-22 24.2 30.6 17.7 0.0
2019-6-23 25.0 31.0 19.1 0.0
2019-6-24 25.2 30.9 20.9 0.0
2019-6-25 25.6 32.8 19.5 0.0
2019-6-26 25.5 29.5 20.7 0.0
2019-6-27 25.5 31.2 21.9 1.4
2019-6-28 24.7 29.0 22.3 0.0
2019-6-29 23.1 27.7 19.6 1.5
2019-6-30 23.9 28.5 20.9 0.0







2019-7-1 23.9 28.9 20.6 0.0
2019-7-2 24.4 30.1 20.8 0.0
2019-7-3 24.1 27.4 21.2 0.0
2019-7-4 25.4 32.8 20.0 0.0
2019-7-5 27.6 35.0 20.2 0.0
2019-7-6 29.7 36.1 24.6 0.0
2019-7-7 26.7 32.5 22.7 0.0
2019-7-8 25.1 31.0 21.2 0.0
2019-7-9 25.0 30.0 19.7 0.0
2019-7-10 22.7 27.3 19.3 8.5
2019-7-11 21.9 25.9 19.5 2.9
2019-7-12 23.6 28.7 20.0 0.0
2019-7-13 24.9 29.7 22.1 0.0
2019-7-14 25.9 31.6 21.2 0.0
2019-7-15 23.8 27.4 22.1 7.7
2019-7-16 24.7 28.8 21.4 6.3
2019-7-17 25.6 29.2 22.3 0.7
2019-7-18 26.9 32.1 23.3 0.0
2019-7-19 28.6 35.0 22.8 0.0
2019-7-20 28.0 31.9 25.1 1.1
2019-7-21 25.1 27.0 24.2 6.2
2019-7-22 26.7 31.0 24.2 0.1
2019-7-23 28.1 32.9 24.4 0.0
2019-7-24 26.5 27.2 25.2 1.0
2019-7-25 26.3 27.4 25.6 9.7
2019-7-26 25.1 25.9 23.7 60.0
2019-7-27 28.4 33.4 24.9 0.6
2019-7-28 26.1 28.2 25.0 25.6
2019-7-29 27.5 30.0 25.6 0.5
2019-7-30 28.1 30.8 26.3 1.2
2019-7-31 25.8 27.5 24.0 62.3







2019-8-1 26.3 30.1 23.5 26.9
2019-8-2 28.4 33.1 24.7 0.0
2019-8-3 29.4 36.0 25.6 3.0
2019-8-4 28.3 34.4 25.0 8.6
2019-8-5 30.5 35.9 25.6 0.0
2019-8-6 31.6 36.8 27.9 0.0
2019-8-7 26.9 30.3 23.9 8.0
2019-8-8 28.9 32.7 25.9 0.0
2019-8-9 29.8 34.6 26.0 0.0
2019-8-10 31.5 36.5 26.6 0.0
2019-8-11 30.4 35.7 26.3 6.7
2019-8-12 26.6 28.5 24.8 56.2
2019-8-13 29.2 35.3 25.1 6.4
2019-8-14 30.4 35.7 25.9 0.0
2019-8-15 25.9 28.6 23.9 16.2
2019-8-16 25.9 29.5 23.0 0.1
2019-8-17 25.9 28.8 23.4 0.0
2019-8-18 25.6 30.7 22.6 0.0
2019-8-19 26.3 31.3 21.2 0.0
2019-8-20 28.2 32.8 23.2 0.0
2019-8-21 27.0 30.4 24.4 1.3
2019-8-22 26.9 31.4 23.0 0.0
2019-8-23 26.2 30.5 22.7 0.0
2019-8-24 24.1 27.3 21.5 0.0
2019-8-25 25.0 29.9 20.2 0.0
2019-8-26 26.4 32.1 21.5 0.0
2019-8-27 25.7 29.3 22.2 20.0
2019-8-28 26.1 30.2 23.6 0.0
2019-8-29 23.4 26.4 20.1 36.9
2019-8-30 22.6 27.0 19.5 0.2
2019-8-31 23.5 28.9 18.5 0.0
2019-9-1 23.7 27.8 19.2 0.0
2019-9-2 24.4 29.7 19.4 0.0
2019-9-3 24.1 28.0 22.0 0.0
2019-9-4 22.8 25.5 21.2 22.7
2019-9-5 23.0 27.6 21.5 36.4
2019-9-6 25.3 29.1 21.6 2.4
2019-9-7 25.7 29.5 22.6 2.8
2019-9-8 24.7 27.3 22.9 0.0
2019-9-9 25.1 28.0 22.4 0.0
2019-9-10 23.8 26.5 22.1 63.2
2019-9-11 24.3 28.7 20.4 7.6
2019-9-12 21.0 22.9 18.7 3.9
2019-9-13 23.3 29.3 18.3 0.1
2019-9-14 22.4 24.1 20.8 0.3
2019-9-15 24.2 30.0 19.5 0.0
2019-9-16 24.5 30.5 20.7 0.0
2019-9-17 23.5 29.0 18.0 0.0
2019-9-18 21.0 25.4 16.0 0.0
2019-9-19 19.5 26.0 13.6 0.0
2019-9-20 19.6 24.2 15.8 0.0
2019-9-21 19.6 22.1 18.3 0.0
2019-9-22 18.6 19.6 17.3 0.4
2019-9-23 20.0 24.6 16.9 0.0
2019-9-24 19.8 26.5 13.9 0.0
2019-9-25 20.9 27.4 14.8 0.0
2019-9-26 22.9 29.0 17.7 0.0
2019-9-27 22.9 27.0 19.6 0.0
2019-9-28 23.7 29.2 19.4 0.0
2019-9-29 22.6 28.6 17.9 0.0
2019-9-30 22.4 29.9 16.4 0.0







2019-10-1 23.1 28.2 17.6 0.0
2019-10-2 21.6 24.2 20.0 23.1
2019-10-3 22.4 27.3 19.8 4.6
2019-10-4 22.4 27.8 18.0 0.0
2019-10-5 18.7 21.9 14.7 0.6
2019-10-6 18.1 22.7 13.2 0.0
2019-10-7 14.8 17.9 13.3 25.4
2019-10-8 14.7 19.8 10.6 0.0
2019-10-9 13.6 20.4 7.7 0.0
2019-10-10 15.2 19.8 10.7 0.0
2019-10-11 18.8 26.1 13.0 0.0
2019-10-12 17.9 23.3 13.3 0.0
2019-10-13 17.2 23.8 12.1 0.0
2019-10-14 14.4 19.6 9.5 0.0
2019-10-15 14.5 20.4 8.8 0.0
2019-10-16 14.6 20.8 9.0 0.0
2019-10-17 15.4 21.6 11.2 0.0
2019-10-18 17.0 22.7 12.0 0.0
2019-10-19 17.0 23.1 12.1 0.0
2019-10-20 16.5 22.9 12.0 0.0
2019-10-21 17.1 24.6 10.9 0.0
2019-10-22 18.1 24.4 13.3 0.0
2019-10-23 17.0 20.7 14.3 0.0
2019-10-24 18.3 23.8 15.3 0.0
2019-10-25 16.7 22.0 13.1 0.0
2019-10-26 10.0 14.9 6.6 0.0
2019-10-27 11.0 17.4 4.7 0.0
2019-10-28 12.9 17.7 7.4 1.7
2019-10-29 12.5 17.6 8.2 0.1
2019-10-30 11.2 17.7 5.0 0.0
2019-10-31 14.8 19.7 8.4 0.0







2019-11-1 14.9 20.5 11.4 0.0
2019-11-2 13.6 18.7 8.3 0.0
2019-11-3 14.7 22.1 9.4 0.0
2019-11-4 13.8 20.3 9.2 0.0
2019-11-5 12.4 18.4 8.4 0.0
2019-11-6 11.0 16.5 6.3 0.0
2019-11-7 9.2 13.6 5.0 0.0
2019-11-8 6.8 13.0 1.1 0.0
2019-11-9 9.5 17.2 3.5 0.0
2019-11-10 10.0 15.3 6.2 11.8
2019-11-11 11.2 15.1 7.9 1.1
2019-11-12 9.3 14.5 4.8 0.0
2019-11-13 7.2 11.3 3.0 7.5
2019-11-14 1.3 5.0 -2.5 0.0
2019-11-15 5.6 7.6 1.4 18.8
2019-11-16 6.8 12.7 3.8 0.0
2019-11-17 8.3 10.5 5.6 21.1
2019-11-18 4.6 12.7 0.4 14.7
2019-11-19 0.2 4.0 -3.5 0.0
2019-11-20 0.5 6.3 -4.6 0.0
2019-11-21 4.2 9.0 -2.3 0.0
2019-11-22 9.7 17.3 3.0 0.0
2019-11-23 12.1 17.7 7.7 0.0
2019-11-24 9.8 15.6 4.6 3.8
2019-11-25 1.9 6.0 -1.2 0.0
2019-11-26 6.6 13.7 1.2 0.0
2019-11-27 3.1 6.8 0.3 0.0
2019-11-28 3.5 10.4 -0.6 0.0
2019-11-29 1.5 6.9 -3.4 0.0
2019-11-30 4.1 9.3 -1.4 0.0
2019-12-1 4.6 6.2 2.3 3.3
2019-12-2 -0.1 2.8 -3.2 0.0
2019-12-3 0.5 4.2 -5.0 0.6
2019-12-4 2.0 7.2 -2.0 0.0
2019-12-5 -4.4 -0.2 -8.5 0.0
2019-12-6 -5.9 -1.0 -10.6 0.0
2019-12-7 -2.4 1.2 -5.5 0.1
2019-12-8 -0.9 4.9 -5.5 0.0
2019-12-9 3.2 8.0 -1.3 0.0
2019-12-10 8.1 10.8 6.0 1.7
2019-12-11 6.3 9.8 0.1 0.2
2019-12-12 -0.7 3.4 -3.5 0.0
2019-12-13 2.1 5.9 -3.7 1.0
2019-12-14 2.7 6.4 -0.1 0.0
2019-12-15 5.3 11.0 0.4 0.0
2019-12-16 7.8 12.9 2.1 0.0
2019-12-17 7.7 10.2 3.2 9.8
2019-12-18 0.8 5.2 -1.7 0.0
2019-12-19 -0.8 3.1 -4.5 0.0
2019-12-20 -1.1 2.0 -3.5 0.0
2019-12-21 -1.2 1.5 -5.1 0.6
2019-12-22 4.1 8.4 0.3 0.3
2019-12-23 3.4 5.2 0.3 2.9
2019-12-24 0.8 6.5 -2.9 0.0
2019-12-25 2.0 6.6 -2.7 0.0
2019-12-26 2.0 4.1 -2.4 0.3
2019-12-27 -1.7 2.6 -4.6 0.0
2019-12-28 1.1 6.1 -3.6 0.0
